category_name,department_name,list_price,unit_price
 PHOnES,FashoN ,8871050000,367.81 VND
 AUdio , FAsHoN,2943076000,2887095
 PuzZles ,sporTS & oUtDoORs,2926994,2875963000
lapTOPS, sporTs-oUtdOORs ,1502791,1479333
auDio, ElECTroNICs,6074672000,6026000
 PhoNEs, BeauTY/cARE,6193461000,6166199
lAPTopS, eLEctronICS,119000,4.54
 bloCKs, ElEctROnic ,208.26 VND,4984000
 BlOcKS , ToyS ,380.14 VND,9031453
 SKINcarE,beauTY CAre,2180000,90.38 VND
camEraS , eLECTrOnICs,3186831,131.62
AudiO, ToyS ,334.43 VND,332.71 VND
MAKeuP,elECTRONicS,2749521,2662441000
oUTDoOr , ELectrOnicS ,164.73,3898438000
pUzZles, ELECTROnICS,8924329,8873567
 phOnes , ElECTroNicS ,9958261,413.07 VND
clothiNG , ToYz ,3611523,149.23
 WeaRablEs ,BeaUTY CaRe ,3839667,3816911
 FITNEss,homE & LIvING ,9964646,9941000
HaiRCARE,HOmE & LIVinG,151.66 VND,3540840000
 cLOTHiNG,SpOrts-ouTdoOrS ,1047416000,43.27 VND
 HaiRcaRE ,eLecTRONICS ,304.56 VND,7259000
 sHoEs,eLeCtRONIc ,1892679,1820201
 AUDIO , faShION,231.11 VND,5511473
clEaNiNG ,elECTRoNic ,78.04,75.88
 laptOPs, FashoN ,262.36 VND,262.14
 lAptOps , hOme aND LiVinG ,6870694,6870042
 blOCks ,eleCTrONiC,6597000,273.42 VND
 TEAM spOrTs ,BEauTY/CaRE,4156000,4062758
fiTNESS , ToYz ,210.02,4989568
 bOARd gAmEs , bEaUtY CarE ,7440000,7416593000
HAIRCare, sPORTs-ouTDOORs ,219.93,5232538
phONES ,tOYS ,2491000,2440843
pHones , HOME&LiVing,369784,13.11 VND
 aCcessoriES , SPORts & ouTDoOrS ,9584993,9543887
 pUZZLES , TOyz,4240235,4203000
LAptoPS,ElectROnICs ,3390072,140.86
 ClotHInG,hOme AND liVINg ,333.80 VND,7958905000
 teAm SpOrTs,spORtS-oUtdOOrs,124.40 VND,123.91 VND
 cYCLinG , HoMe and lIvIng,315.39,313.82 VND
 bLoCKs ,toys,6338000,6249864
 cLOthiNg ,eLeCtROniCs ,3939435,3898604
 HaircARE , hOME & LivING,3799000,3743000
 LapTOPs,BEAUTY cARe,3542757,3460000
 dEcOr ,hOMe & LIViNG,414.55,9850746000
FURNiTure, hoMe & liVing ,3053437,124.58
PhONes, ElecTROnICs ,3883148,160.91 VND
skINCARe, FAShIon,31010,1000
 Team SpOrTs, spoRts-oUTDOORs ,5129739,5123190
 RC, bEaUTy cARe ,5546675000,5511881
 haircare ,hoME&lIviNg,6979173,6931000
OUTDOoR,eleCtRONics ,10.69 VND,8.45
ClOThiNg , hOmE aND Living,258.27,254.78
 BOaRd GAmes,fasHON ,4185689,4103572
skIncarE, toYS,130.53 VND,3102158000
 pHONEs , eLeCTRONICS ,1074522000,43.95
 CAMERAS,BeaUty CAre ,1626193000,1571671
 SKInCaRe, HOME&LIVInG ,8381601000,8361184
PHoNes,TOyS ,1301745,1280723
 BlockS , fASHiOn,6490495,269.97
 phONES , bEaUTY/cARE,5316929000,5257997000
LaptopS ,EleCTRoNIcS ,5851000,5775969
 pHoNeS, eLECtrONIcS ,222057,177964
 BOaRd GaMES , ELecTROniCs,7741145,322.4
accESsoRiES , ElECTrONiC,5980077,5942545
 DeCor ,TOyz ,3653502,3592285000
 blOcKS,fASHon ,203.7,200.6
aUDIo,SPoRTs & ouTdOoRs ,286.82 VND,6809908
 mAKeuP ,hOMe & liVIng ,388000,347000
weArabLEs,BEAutY CAre ,194.19,4659432
 sKIncAre,ToyS ,221.50 VND,5233217000
 CAMeRas , spORts-OUtDoORs,282.11,6686915
 rc,ELEctRoniCS,3902384,3860000
 aCCeSsORiES ,fASHon,4364819,4344058
pHONEs, ElectRonICS,398.69,9544802
 rC , BeaUTy/cArE ,4210000,4134987
 bLoCkS,faSHIOn,235.6,5558000
 cleaNINg ,fasHoN,59.64 VND,1344000
 haircARe, beAuty/cAre ,223.06 VND,219.46 VND
rC,bEAuTy cAre ,1709499,1680562
CleaNING, BEaUTy/CARe,4102000,167.73
AUdIO,bEauty carE,8357000,8268780000
 FurnItuRE , BEAuty Care,943000,910708000
kiTChEn, BeAutY/CARe,286.44,282.47
acCeSSOriEs,elEctrONiCs,4858847000,4845730
Furniture ,TOYz ,2047880,82.63 VND
cLothINg ,SPORts & OUtdoorS ,3392325,3341009
PHoneS,eLEctROnIcS ,7578000,7479000
BOArd gAMEs, eLeCtRoNicS ,329.36,7808541000
lAPTopS,BEauty cAre ,1763175,69.59
kITChEn,FAshoN ,3622197,149.56
lAPtopS ,BEauty cAre,1697595000,70.56
AcCeSsoRIES, ELeCtROnIC ,298.31,7100034
 fURniTure, SpORTS & OUtdOoRs,5935390,5882615000
MAkeUP , ElECTronIcs,387.48,9222895
pHOnEs,beAuTY/CArE ,6805434000,6718000
 LaPtopS ,HoME aND LIvinG,1653252000,65.88
PHoneS, ElectRonIC ,2269000,2268094
 FURNiTuRe, tOYs,384000,309000
kItCHen,ELeCtrOnICs ,526624000,491512
OuTdOoR,elECtroNIcS ,264.62 VND,6314000
 SkinCaRE ,spoRts & oUTDOors ,7790409,322.39 VND
FUrniTuRe,toys,42.74 VND,947548
 RC,ElECtroNICS ,8930689,368.85
Furniture ,SPoRts & OUtdOorS,9519000,9448000
 Board GamEs, hOME&lIvINg ,8706217000,8700063
PUzzlEs , fAsHOn,6338062000,6264776
weaRAblEs, ELecTronIcs,7733473000,322.19 VND
KiTCheN ,BEAutY/CAre,134.21,3141432
 PHOneS, ElECtrOnics ,3298164,135.41
 MAKeuP, HoMe&LIving,9928648,9836934
teAM spORTs , hOME&lIviNg ,167.43,4008965
Furniture , Home and LivINg ,9370909,9298878
rc,hOme AND lIVINg,5401000,5376939
FuRnitURE ,SPORTS & OuTDoOrS ,6140398,252.98
WeARabLes ,BEauTY cARe,2466683,2453000
WearABles ,home&living ,297.52 VND,7123792
 HAircArE,FaSHIOn ,4365580,178.92
 CaMEras,SpORtS-OUTdOORS,255.42 VND,6122520000
puzZLEs , beAUty care ,9677534,400.62 VND
 cycLING ,toyz,183.75,181.47
 FuRNITURE,HOmE & lIVinG ,141.58 VND,3386000
 WEaRaBLEs,tOYs,4233957000,4167923
AUDiO , TOYS ,754380,745848
 LaPtOPS,tOYZ ,271.20 VND,6470567
 laPtoPs,hOmE And LIving,7118932,7066814000
Furniture , BeAuTy/cAre ,8551489,8481065
 oUTDooR, fasHON ,6375139,6278000
 Rc,Home And LiVINg,6351352000,6323000
 blocKs, elEctroniCs,8774000,8750432000
 oUtDoOr ,toYS ,701592000,622292000
Furniture , FASHiOn,3726958,3643773
 blOcKS , SPOrTs & OutDooRs ,4477388,4450000
 rC, homE & LIVinG ,1253000,1165000
PHoNES, bEAuTy CARe,9691188000,9658829
BOARd GaMeS, hoMe & LiVING ,4597398,188.93 VND
WeARAbLeS, beauTy CarE ,3061325,3006497
 cAMErAs ,fashiON,277.03,274.70 VND
KItChen , BEautY CArE,1438525,1434000
Furniture , tOyZ,5401034000,5307209000
TeAM SpORts , TOYz,1731053,1678091
 laPTops ,sPorts & OuTDOOrs ,1122155,1088739
teAm SpOrTS ,ELECtRONICs,8429730,8356730
 audIO , TOyZ,3579521,3483000
 boarD GameS, bEAuTy caRe ,333.82,8002370000
LAptoPS ,HOme & LIvING,7383818,306.67
tEaM sPORts,electronIcS ,8461407000,349.73
 AUdIO , beAUty Care ,8223105,8181357000
 SkiNCARE, ELectrONiC,3658000,151.63 VND
clOthing,elecTRoNIcs,126681,79.27
 fitneSs,ELeCtrOniC ,7367000,7300659000
AUdio,tOyz ,9965157,412.44
rc , beaUtY CARe ,4799691,4770000
 cAMeras , toys,2092729,2078000
 puzZles , sPoRts-OuTDoORs,214.57,5064000
SkINcare , EleCTrOnicS ,3086467,3045705
 CAmErAS,eLEcTRONIC ,5622639000,5591369
fITnESs , HoME ANd LIvInG ,1130412000,1096000
CleANING , ElECtRonIc,281.73,6759000
 aUdIO,HomE&LivInG ,101.83,99.44
 boaRD gAMes , SPORTS-ouTdOORs ,3088150,3064232000
FurNiTurE,bEAUTy/caRe,407.83,9772865000
CYclInG, eLECtrOnic,9028095,372.29 VND
cLOthINg,SPorTS-OutdOorS ,343.69 VND,8150418000
ShoEs, tOys,134.68 VND,3190490000
 kiTchEn,SpORTs & oUtdOoRS ,93831000,81000
 decor ,Home & lIvING ,773950,753416
 SkINcare ,tOYs ,2396217,2386798
lAptOps ,elEcTROnICS,6964000,6876369
PhoNES,hOME aNd LIVinG,8357236,8339546
weaRAbles,toys ,119.74 VND,2816960
 CloTHInG ,HOMe&LIVInG ,25.93,22.08 VND
 TEaM SpOrTS, HOme & liviNG ,9819935,405.45
DECOR ,eLEcTroNic ,407.14 VND,9759315
 AUdio, elECTRonic,6021291,6014754
sKINCARE,home&LivIng,659995,644251
 DeCOR,FaShIOn ,7804000,7796454
 acCESSOrIEs, tOyZ ,4611866,4583000
 TEAm SPORTS , BeAUTy/cARE ,6226659,257.55
 sHoeS,TOyS,290.28 VND,6869946000
WeaRaBleS , sPOrtS-outDOOrs,3633762,148.62
wEAraBleS ,tOYZ ,6585276000,6546422000
CleaNIng ,elecTROnIcs,3804965,3794043000
 lApToPs, sPortS & OutdOorS,251.11,5964351
Audio, ToyS,9410955000,9394027000
 Shoes,elECtrONICs ,6253255,6199570
 FurNIture , homE&lIviNG,309.7,7370052
 pHoNEs , BEauty/CARE ,9738039000,9684571
 clothING, FasHON ,72.87,1683718000
CAMERaS ,sPOrTS & outDoOrS,5791177,239.43 VND
 OUtDooR , ELECTronicS ,473633000,379242
 teaM sPORts ,hOMe&LIvInG ,207.18 VND,4966734000
 aUdIo ,spOrTs-oUTdOoRS,2677000,2669973
 BOARd GameS, hOmE ANd LiviNg,1635000,1543000
FiTnEss , ELectRonIcs,1210705,1155703
 puZzles ,elECTRoNiC ,6511497000,6477012000
 Team SPOrts , BEAutY/carE,8342936000,8296920000
 sKincARe,tOyz ,7920000,7877000
SkiNcare ,Home AnD LIving ,5524053,5460916000
bOArd GAMeS , homE & LIvInG ,91.39,90.89 VND
 audIO ,bEaUTy CArE,1043605,955000
 PUzZLEs,ToyS,4181195000,4089404
 weARABlES,beaUTY CARe ,398.26,9466105000
 CamERas, faShon ,2164913,2119465000
audIo , bEAUTY cARE,287.41 VND,6834773000
 fItNESs , homE&LiVing ,8676000,8631430
HaIRcare, tOys,7711250,7624490
FuRNITuRE , HoME & lIving ,134.93,130.95
cLEANING ,spOrTs-OUtdOoRS,321.70 VND,7692189000
audio,SPORTS & OUtDOorS ,75.69 VND,72.12
rC ,BEAUTy CaRE,7639626,7584952
 Audio , FASHON,2749045,2725275
caMEraS ,HoME AND liViNG ,204.28 VND,201.47
 kitcHEN,eleCtrONiCS,158.19,3776370000
rC , hoMe aND lIvIng,8372498,8310632000
cAmERas ,Fashon,9551590,396.35 VND
cAmERAs, HOME&lIvinG ,1930376,1872608000
 camErAS , hoME aNd LivInG ,2486768,2406000
 oUTdOOr,BEAUty CAre ,6899921,286.57
wEarAbLEs ,FaSHon,5043000,4975695
haIRCaRE, hOmE AnD livIng,8.55,107081
CAmERAS,ElEcTRonICs,8907288,368.57 VND
cAMeRAS,homE&LivING ,3415000,139.50 VND
 FuRNITURE , toyZ,1433989,1367000
 auDio ,BeaUTy/CArE ,8139842,336.13 VND
 WeARabLEs,hOMe & LiVinG,1341777,1318271
DECOr ,toYs ,3465269000,3424406
 skINCARe , HOMe aNd LivINg ,5600609000,5506540000
 aUdio, hoME&LiviNG ,923107000,35.84
 aUDIo ,eLEctROniC ,4044636,167.42
PuzzLeS ,HomE&liVIng,6554840,6493212
 boARD gAmes,SPOrTS & oUtDOORS,3476000,3396227000
BoARd GAmES,SpoRTS & oUTdooRS,396.27,9432000
 clothINg ,Home&liVINg,6952550,286.87
 skinCaRe,Fashon,38603,31000
LaPtopS,hOME&livING,4530798000,4469982
 WeARableS, toYS,5595216000,5552495000
board GamEs,sporTS-OuTDOOrS ,9454495,9357778
caMERas ,bEAUty cARE,1383000,1339997
pUzzles , toyZ,3098118,3062503
 sHoeS, ElEcTrOnic ,4816963,199.36 VND
cLEANInG,sPOrTs & OUTdoOrS,5031944,207.16
 pHoNES,ELECTRoNicS,352.64 VND,8444000
PUzzles ,eLECtrOniC ,386.38,9208540
 sKincaRe,toYs,3308373,3299000
cYClInG,HOMe&LIVInG,104,101.12
 shOEs, SpoRts-OUTDOors,1162000,1133083
CaMeRAS , eLeCTRoniCs,68.84 VND,64.72
WEARAbLes , sporTS-OUTdOoRS,4002156000,165.47
camERas , sPOrTS-oUTDooRS ,4209403,4130384000
WeAraBLeS ,eleCtRonIcs,9063386000,9039940
 CAmERAS ,Fashon,343.03 VND,340.39 VND
 sKiNCARe, elecTRONIcs ,2588609,103.91
PUzZlEs ,ELeCTrOnic,3555729,3535416
 maKeUp , SpoRTS-outdOoRs ,337850,327035
 MAKEuP, eleCtRonICS ,3099418000,127.80 VND
wEARAbLEs ,elEctRoNICs ,8945219,8869246
 FURNItUrE , BEaUtY/CArE ,3230805,3181869000
phOnES,beauty cARe,261.04 VND,6186151000
 phoNes , homE and livINg,5722627000,5721000
clOThInG ,FaSHoN,6901000,283.95 VND
ShOeS , FAshIOn ,7148104,297.53 VND
dEcor,ElECTROniCs ,6203000,6138000
bLoCKS,SpoRTs & OUTDooRS ,4741000,4713652
 PUZZLES ,fAShIOn,2024582,1930969
Furniture , BEauTY/Care,1377177,1282793000
ShoES, Home&lIvING,3802001,156.84
wearABLes, BeautY caRe,8637181,8608000
rc, FAsHoN ,9938122,413.70 VND
sKincARe ,sporTS & oUtdoOrS ,882563,805000
Furniture ,eLECtrOnICS ,3994323,3908000
 clEAninG ,BeAUty CAre,695000,638381
KITcHEn ,fAShIon ,2629643,2581000
furNItuRe,ELEctRONics ,7504237000,7458845
 aUDiO , BEaUTY/CaRe ,9620587,9533327000
weArablEs, HOmE & livinG,173.03 VND,4108392000
 lAPtoPS ,eLEctRoNIC,330.24,7859780
CameRaS,Fashon,6612894,273.34 VND
HAIRCare, tOYs,9870000,9823000
 wEArABLeS, TOYs ,285.65,282.71 VND
ShOES,homE & liViNG,3521841,144.18
 LapTopS,beAuTy/caRE,1227487,1179624
rc ,faShON ,1235079000,1154204
WearabLeS ,TOYs,5449790,225.03 VND
 HairCaRE ,hoMe&lIVING ,366.6,363.76
 kitcHEN, eLecTronIcS,1556744,61.38
outDOOr ,ELecTRonICS ,181.58,4291718
FuRNitURE, beAutY/CAre ,6952945,286.79 VND
 MakEup,TOyz,203.07,4838096
pUzZLEs ,fASHiOn ,8969781,8951347000
TeAM SpORTs ,FaSHON ,262.23,6259815000
 pHoNEs ,SPoRts & oUTdooRS,327.26,7804783
sHoES ,TOyz ,7523000,311.77 VND
 phoneS ,EleCtROnic,9919086000,410.11
Furniture , BeaUTy/cARE,478684,19.78
 bOard GAMES , HomE&LIVing,6598252000,272.39 VND
 WEARAbleS,FashoN ,9544022000,9472882
SkINCare,BeAUty CArE,5617137000,230.78 VND
 sKincaRe , FAshIon ,332.8,331.17 VND
 BLOCKS ,HOmE&LiVIng ,1559000,1555321
bloCKs, bEaUTy cARe ,3722927,3630000
wEAraBLES ,FaShion,471487,377021
furNitURE , hOmE And LIViNG,244,243.18 VND
CycliNG ,ElECTROnicS ,7025489,7007642
cLeANing,HOME & lIVIng,7148712,7077065
cAMeras,Fashon,7112482,7069000
 ShOES ,beAuTy Care ,23.45 VND,22.44 VND
 TEAm SpORTs ,eLecTroniCS,7086055,7057910000
 cLOthing , beAUTy/carE ,8091533,8010921
 dECor,FAshIOn,5359249,221.20 VND
 CYcLINg ,HOmE & lIVinG,8895078,8836540
FurnitURE, TOyZ ,559315,524996
PhoNes,fashON ,105.44 VND,2465294000
 BoArD GaMeS ,ELecTRonicS ,238.6,235.49
PUZZlES , beAuty cARe ,9465498,9397038
 FItnEss ,eLecTrOniCS ,2301449,2267659
Furniture , HoME & LIVINg,9787113,407.4
 cYCLInG, hOMe & LiVInG ,55.86,1266371000
 kitCheN,ToYS,936118000,857854
 BOArd gAMeS,FashIon,1220748,1140000
 acceSsoRies,HOmE & liviNg ,3358674,136.44
 aUDiO,homE&LIViNG ,2880000,2803000
 mAkEUP,elECtrONiCs ,6207952,6118000
 LaptOps , ELeCTrONIcs,140.05 VND,3312000
RC, eLeCtRONics,3672164,3648596
 PuZzLES, home & LivinG,5859727000,5792000
DecOr ,SPOrTs-OutDOoRS ,353.32 VND,352.95 VND
 PUzzLES,eLectROnIcS,3566466000,3555250
audiO,sPOrTs-outdOoRs,5267646,5264432
 skINcAre ,beAUTY cARe,2909037,117.90 VND
BlOcks , ELeCTRoNIc,67.53 VND,1535995
bOaRD GaMES , fASHion,5148836,5119598
 cAMEraS, toYS,2111624,2044262
cLEaning, ElecTRoNICS ,372.81,371.58 VND
bLOckS,eLEctRonICS,488142,16.26 VND
WearABLEs, FAShoN ,8482000,8462815000
 aUDIO , hOmE & LIviNG ,149.06 VND,147.41 VND
 FITNESS , ElecTRonics ,255.03,6033474
boaRd gAmES, FasHon ,3403051,3306634
caMeras ,EleCtroNICs ,7021425,6963946000
 cameRas ,hoME&lIVInG ,6426000,6368279
 PHoNes,fAshOn,940925000,879395000
WEARAbLEs , bEaUTY CarE ,547864,467.59
 LaPToPs , ToyZ,108.37,2532000
kItchen ,elEcTRONic,9525823,9490012
 CAmERaS ,spoRTS-ouTDoOrS,5775857,5699478
 CLeAninG ,SPORts-ouTDOorS ,3618621,3519535
 fUrNIture, SPorTS & OUTDoors,294.10 VND,6963435
 cLeAning , fAShIon,6339555000,6310000
kiTchen,home&lIVIng,364.8,8724939
 sKINcaRe , sPOrts-oUtDOORS ,5657995,5569194
 CamERaS,HomE & LIvINg ,192202,101439
 cAMerAs, fASHiOn ,5793389,237.47 VND
 clEaNiNg,faShOn,332.94 VND,7951000
CLothIng,ELEctRoNicS,8312000,8260484
puzZlEs, BeaUty caRE ,91.42 VND,87.92
 HAIRcaRe,BEAUTy caRE ,7864148000,7781064000
 WeAraBleS , fashIOn ,2914000,2904380
lAPtOpS,TOYS ,4148448000,4050548
 sKIncAre,FAshon ,4233104,4147000
 pHONEs, Fashon ,397.75 VND,9504245
 auDIO, BEAuTy CAre ,1097719,42.2
 shoEs ,ELeCTROnic,144.78 VND,3460578
 boARd GAmES , HOmE aNd lIVing ,13.87 VND,316389
 ShoEs, beAuTy CarE ,5046800,4990000
cloThiNg, sPORtS & OutdoorS,7011660000,288.1
WeaRABles ,Fashon,7022495,290.57
 Haircare ,eLEctROnIC ,4930000,4904296
 LApTOps,beauTY/CaRE,9800712000,9735666
cYCliNg ,EleCTRONIC ,8715382000,8671755
PHonEs,hoMe&living ,108571,0.91
AUdiO,SpORTS & OutDOors ,17.49 VND,374507
 clotHiNg,BEAuTy cArE,1259381000,51.19
 CAMEras,bEAUTy/Care ,329.91,7827610
shOes ,tOYZ ,1569104,1493906
pUZZLES ,SpoRTS-oUTDOORs,1669098,1649031000
FitNESS, spORtS-OUTDOoRS,9683305,9594044
 bLockS, SpOrtS & oUtDOOrs,6036205,6001015
AUDio, sporTs & OUtdOOrS,9818715000,406.60 VND
 ShOEs,HoMe&LivInG,8576921,8532824
 AUdio, sPOrTs & oUtDoORs,5480600,226.19
 CleanInG ,HoMe&LIVINg,4210531000,4129425
rC , hoME & liVING,2448382,98.14
CycliNG ,FaSHIoN,408.95 VND,9807641
laPtops,toYZ,8154278,8099485000
 laptoPs ,Fashon,1157283,1111318
 cYclINg, BEaUTY/care ,632000,604.59
 CAmEras,sPOrtS-OuTdoORs ,8323421,8297354
 ACcEssoRiEs , eLECtRonics ,155.98 VND,3659000
fiTnEss , tOYS,6599819,274.47
furnItuRE , homE & liViNg ,6238000,257.16
hAIRCaRe , SPOrTs-ouTdooRs,310.72,7405393
CleAninG,BeaUTY/caRe,5261148,5259826
 LapToPS ,toys,277.81 VND,6621236
 BLOcKS,hOME aNd livINg ,6446590,6412722
 ShOES,ELEcTROnIC,9711525,9699000
 sKiNCarE , EleCTrOniCS ,298.38 VND,7135535
decor,eLectROnIcs ,6596355,6587701
 clEaniNg, Fashon ,496443,406103
 caMerAs,hOmE AND livIng ,9290000,9238208
cAMerAs,eLeCtRoNIc ,2304304,93.87 VND
 cYCLInG,SpOrTs & oUtDOorS ,236.64 VND,236.14
 maKeuP, sPoRTS-oUTdOORs,4665297,192.85
BlOCks, SPORtS-outdoORs,1414397,1354231
laPTOpS,SporTS & OuTdOOrs,7349586,7346460000
 RC,BeaUtY/caRe,7872016,7796306
AUdIO , FASHiON ,6687992,274.88
camERas,ELEcTRONIC ,5259000,5170367000
oUtdoOr , SPOrts & OuTdOOrs,1162000,1137700000
fUrNiTuRe, ElecTroNiCS,8639763,8607791000
PHONes,Fashon,4730740,196.69 VND
weARaBles , fAshON,9287531,386.29
laptoPS, spORtS-OUTDoOrS ,334.94 VND,7993000
Board gaMes,bEAuty/CaRE,5923720,5847000
weARABLES ,fAsHoN ,79.08 VND,1818506
DeCOr ,fAShoN ,4711171,195.01 VND
 cLoTHiNG, BeaUTY/caRe,6990296000,289.62 VND
lapToPS ,faShion ,6218000,6152000
AuDio,BEAuty/CARe ,1262000,1242000
PhoNES,hOmE And livInG,2060000,2013201
wEaRaBLes,HOme & lIviNg,8748509,363.38 VND
SkiNCARE,hOmE & LiViNg,75.97,1809120
 accEssOrIes, faSHOn,9120350,376.78
MAkeUp,eLECtrOnIcS ,935626,879478
 PuZzLeS ,HoMe And livInG,637476000,613806
LaPTopS , hOme&liVING ,8160406,8083123000
 bloCKs,HOme&lIVing ,5663000,235.51
 OutdOOr, HomE and LivIng,161681,145208
SKiNCArE ,spoRtS-ouTdOORS,1969061000,80.40 VND
 CaMerAS,electrOnICs,6607360000,273.79 VND
 haiRCAre, bEauty/caRE,119.71,2816021
 kItcHen , bEaUTY/Care ,256.70 VND,6108000
 AUdio,BEAUtY/caRe ,9906591,9889226
LAPtOPS, ElEcTrONICS,7897000,326.6
 phones, BeAuTY/CARE ,413.24,9828000
 TeaM spoRTs ,Fashon,40.25,931788
 CaMERas ,BeautY/CaRE ,205.9,203.72
 fURnITURe,bEAuTY Care,9792986,9768680000
sKinCARE ,fAsHON ,234.7,5575825
oUTDOoR, sPoRtS-OutDoors,117283000,83000
 HAirCaRE,FAshioN ,1007289,975936000
Furniture ,elECTROniCs,90.24,88.16
OuTdoOr , HomE&lIVING,327.83 VND,325.12 VND
 aCCessorieS , BEAUtY/CARE ,225.58,5375541000
dEcOr , hOMe & liViNG,2640844,2619864
 sHoes , bEAUTY/CarE,2653051000,2553544
PHonEs, fasHIOn ,6632000,6622471000
bLoCkS ,spORTs-ouTdOors ,6110961,252.08
 wEARaBleS,elecTROnICs,7386000,7378499
CloThiNG,tOYS ,8543000,8519593000
 teAM SPoRtS ,bEAUTY/care ,1447351000,59.37 VND
phOneS,toyz,312.46,311.11
 bLOCKS,spoRtS-oUtDoOrS,1792411,1715722000
 sKInCarE ,FashION ,9234732,384.72 VND
SHoes ,BeaUtY/CARE,944522000,906000
fuRNitUre, bEauTY/CARE,4337837000,4273000
 LaptOPS ,sPorTs-OUtdooRS,2159263,2085000
 auDiO, FAShON,6644650000,274.55
 MakEuP ,EleCtRoniCs ,8721797,8653000
 lAPtops ,eLeCtROnIc ,6839699,6792018000
 BOARd gAmes ,HOmE&liVInG ,8676468,8617708
 boARd gAmeS,Fashon,233.86 VND,5575706000
bOaRd GAMeS ,elECTroNIcS ,1104350,1013369
FITNeSs, BEautY/cARe ,3240000,3222552
 cycLiNG , faShiON,4593379,4538000
blOCks , toYZ ,144.32,3452556
FITNess , ElEctRONicS,4077693,167.45 VND
OutdOOr ,bEauTY caRe,306.17,7286362000
aCcEsSoriES ,ElEctroNic ,5023673,4995294000
BOARd gaMES,SPOrTS & outdoORs,6182840,254.86
phOnes, electRoNICs ,159.83 VND,3787008
CamERas ,spoRTs-outdOORS,7058487,7036456
 AuDIO,faSHoN ,6747841,6711984
 audIO, SPoRTs-OutDOors ,3077754,2997265
TeAM sPORts ,Fashon,6150587000,254.61
 cleaninG , BEaUTy CArE ,9784715,405.59
pHonES, ToYz ,7314692000,7250263
 caMErAs, hOME & lIvINg,682944,586321
 CLeaninG,eLectRoNIC ,302.96,301.03 VND
PUzZLeS, ToYs,109.59,2538000
 laptopS,ElECTRONics ,8763000,8685000
 CLeanIng, hoMe and liViNG ,7521075,311.43 VND
 lAPTopS , SPORTs-OUTDoors,5934394,5913221
Kitchen, hOME aNd lIvING,1476314,1447000
shoES,hOMe&livINg,3155518000,3084000
 FUrNITuRe,ElECtRONics ,7626732,7579298
 cLeANInG, eLectROniCs ,365.32,8696096000
WEarabLes , faShIOn,9327656000,384.96 VND
WEaRABlES , elecTRoNICS ,109460000,73765
 sKINcare , toYs ,2187023,2161678
Furniture ,FASHon,8326399000,346.7
pHOnEs, electRoNICS ,7033576,291.28 VND
 HaIrCaRE, BeAUTY CARE ,5159832,5061536
pUzZlES,FasHioN ,2369214,2303043
 WeARAblEs , bEAUtY cARe,2936000,119.17
 TEam SPoRTs , bEAUtY/caRE ,8393884,8375434
 aCCESSOrIeS, SPoRTS-OuTdooRs,6.55 VND,79310000
TeaM sPOrtS,home&liviNg,284.98 VND,282.94 VND
 ACceSsORIeS, bEAUtY/carE,5858480,5856000
Furniture ,BeautY CARe ,3771000,155.98
MAKeuP , beAuTY CaRE,861000,801178
 pHONes , beaUTy/cArE,3543647,3517301000
 cyCLInG ,BeauTY cARe ,104.22 VND,2422000
 PuZZleS,tOYS ,2183657,2100816000
 BoArd gameS ,hOME&LivING,2101000,2008000
fURnITUre ,ELEctronic,45.41,997000
furNItUrE ,BEAuTy cARE,7651806,315.49
bLoCKS ,eLECTrONicS ,2756714,2670000
Furniture ,BeaUty CAre ,7363859,7328417
 ClEaNIng,sPortS & oUtdooRS,8439495,349
ClOtHING , eLECtRoNIC,5289563000,219.57 VND
 AcCESsORIeS ,FAshon ,2643000,2595000
 Blocks,HOMe&LIviNg ,2878929000,118.66
 pHONeS , hOME AND LiVINg ,9350133,388.92 VND
bOaRd GAMEs ,HomE aND LIvINg,9779545,406.15
audIO, ElEcTROniC ,97.34,2300191
 cLOtHinG,FAsHIon ,78.59,1870810
phOnEs ,hOme and lIVIng ,2875091000,118.19 VND
cyCliNg , eLecTrONIC ,69.38,1639647
 sKINcare ,Fashon,6076339000,6048775
 pHONeS, toYs,147.47 VND,3455027
 KITcHEN ,HOMe & liVinG,6750000,278.31
acCeSSoRIEs,homE AnD LiViNg ,6544203,272.30 VND
 haIRCArE ,BeAuty CAre,5410704,5394546
Furniture ,SPOrTS-ouTdoORS ,6733000,6677526
OUtDOOR,hoME ANd LivinG ,7487403,7452893
 laPtops,hOmE&liviNG ,596000,582066
 haIrCarE,tOYz,7433163,7344063
BoARd gAmEs ,ElEcTroNIC ,8941017,8858294
 CleaninG,fAshON,8627530,356.99
 sHOeS ,hoMe & living ,9161993000,9103584
 BOarD gAmES , SportS & OutdOOrs ,8074567000,8059696
OutDooR , SPOrts & oUtDOOrs ,375.28 VND,8936000
 CamERAs , bEaUty/CAre ,51.96,1148382
OUTdooR , SpORts-outDOOrS,7769719,7699723
TeAM sPOrtS,bEAUTy care ,3800255,3798803
PhonEs, ToYs,91.21,90.21 VND
 KITCHEn, HOME & lIViNG,3659530000,149.94
shoEs, ELeCTroNIcS,248.93 VND,5967880000
sKincARE,ElEctRonIC,3747600,154.67
 laPTOpS , TOYZ ,1283000,1260000
Decor,HomE aNd lIvIng ,2580042,2545303
 caMERAS, BEaUTY/cAre ,809000,779971
